"nome_arquivo","latitude","longitude"
"5SC0300",-26.7103,-50.2908
"5SC0301",-26.6975,-49.8281
"5SC0302",-26.6931,-50.1478
"5SC0303",-26.6828,-53.2867
"5PR0304",-26.6331,-51.3331
"5SC0305",-26.6208,-53.6817
"5SC0306",-26.6086,-51.8817
"5SC0307",-26.5989,-51.1167
"5SC0308",-26.5875,-50.7283
"5SC0309",-26.5836,-52.6403
,-26.5617,-48.7192
"5SC0311",-26.5561,-52.3308
"5SC0312",-26.5558,-50.6011
,-26.5461,-49.48
"5SC0314",-26.5306,-49.8436
,-26.4944,-49.0875
"5PR0316",-26.4833,-52
"5PR0317",-26.4833,-51.9833
"5PR0318",-26.4797,-51.4281
"5SC0319",-26.465,-53.4536
"5SC0320",-26.4642,-49.0867
"5SC0321",-26.4586,-49.9864
"5SC0322",-26.4483,-48.8303
"5SC0323",-26.4439,-53.0819
,-26.4392,-49.0628
"5PR0325",-26.4333,-51.5667
"5SC0326",-26.4239,-49.2925
"5SC0327",-26.4194,-49.5731
"5SC0328",-26.4097,-49.3311
"5SC0329",-26.4003,-52.8956
"5PR0330",-26.3867,-51.2719
"5SC0331",-26.3839,-50.8783
"5PR0332",-26.3833,-52
"5PR0333",-26.3781,-53.0447
"5SC0334",-26.3706,-50.2908
"5PR0335",-26.3667,-51.8667
"5SC0336",-26.3553,-53.2781
"5SC0337",-26.3514,-50.6456
"5PR0338",-26.35,-52.5667
"5SC0339",-26.3333,-53.2167
"5SC0340",-26.3328,-49.9272
"5SC0341",-26.3217,-48.8464
"5PR0342",-26.3167,-52.7167
"5PR0343",-26.2781,-52.2961
"5SC0344",-26.2692,-53.6275
"5PR0345",-26.2667,-52.8
,-26.2667,-51.9
,-26.2489,-48.9775
"5PR0348",-26.2333,-53.2
"5PR0349",-26.2333,-52.6833
"5PR0350",-26.2311,-52.5967
"5SC0351",-26.2281,-51.0803
"5PR0352",-26.2167,-53.4833
"5SC0353",-26.2158,-49.0806
"5SC0354",-26.2156,-49.6036
"5PR0355",-26.1906,-51.2978
"5SC0356",-26.1864,-49.2733
